"psu","zone","type","pop"
4105,4,1,45
4106,4,1,15
4107,4,1,112
4108,4,1,5
4109,4,1,87
4110,4,1,57
4111,4,1,38
4112,4,1,64
4113,4,1,45
4114,4,1,44
4115,4,1,44
4116,4,1,91
4117,4,1,78
4118,4,1,35
4119,4,1,1059
4120,4,1,22
4121,4,1,128
4122,4,1,221
4123,4,1,181
4124,4,1,155
4125,4,1,72
4126,4,1,124
4127,4,1,25
4128,4,1,134
4129,4,1,93
4130,4,1,409
4131,4,1,78
4132,4,1,553
4133,4,1,30
4201,4,2,227.666564941406
4202,4,2,222.336471557617
4203,4,2,834.041931152344
4204,4,2,697.205871582031
4205,4,2,703.617614746094
4206,4,2,370.024108886719
4207,4,2,1334.20935058594
4208,4,2,1390.35241699219
4209,4,2,975.647277832031
4210,4,2,288.583190917969
4211,4,2,640.734252929688
4212,4,2,590.766296386719
4213,4,2,1295.31811523438
4214,4,2,1157.26232910156
4215,4,2,211.573608398438
4216,4,2,245.156631469727
4217,4,2,578.375915527344
4218,4,2,1076.12133789062
4219,4,2,687.453308105469
4220,4,2,904.161010742188
4221,4,2,636.340698242188
4222,4,2,508.154815673828
4223,4,2,821.137573242188
4224,4,2,892.313171386719
4225,4,2,949.850830078125
4226,4,2,845.73583984375
4227,4,2,593.568298339844
4228,4,2,763.886413574219
4229,4,2,879.943359375
4230,4,2,826.816650390625
4231,4,2,814.945251464844
4232,4,2,562.355895996094
4233,4,2,672.434753417969
5101,5,1,55
5102,5,1,96
5103,5,1,74
5104,5,1,48
5105,5,1,80
5106,5,1,49
5107,5,1,133
5108,5,1,76
5109,5,1,198
5110,5,1,23
5111,5,1,32
5112,5,1,23
5113,5,1,27
5114,5,1,46
5115,5,1,44
5116,5,1,47
5117,5,1,306
5118,5,1,949
5119,5,1,244
5120,5,1,132
5121,5,1,1377
5122,5,1,243
5123,5,1,1395
5124,5,1,58
5125,5,1,324
5126,5,1,51
5127,5,1,99
5128,5,1,588
5129,5,1,577
5130,5,1,335
5131,5,1,472
5132,5,1,863
5133,5,1,2736
5201,5,2,296.7529296875
5202,5,2,355.109710693359
5203,5,2,779.90087890625
5204,5,2,1519.01086425781
5205,5,2,650.501586914062
5206,5,2,283.363677978516
5207,5,2,250.755508422852
5208,5,2,333.000946044922
5209,5,2,775.407897949219
5210,5,2,416.245971679688
5211,5,2,632.06689453125
5212,5,2,702.696105957031
5213,5,2,362.965850830078
5214,5,2,259.307312011719
5215,5,2,704.69140625
5216,5,2,622.773193359375
5217,5,2,697.300476074219
5218,5,2,702.688415527344
5219,5,2,558.385681152344
5220,5,2,410.266296386719
5221,5,2,438.732421875
5222,5,2,762.446350097656
5223,5,2,776.526550292969
5224,5,2,673.524353027344
5225,5,2,676.383178710938
5226,5,2,621.192993164062
5227,5,2,753.897644042969
5228,5,2,734.960510253906
5229,5,2,783.020568847656
5230,5,2,639.777160644531
5231,5,2,739.645080566406
5232,5,2,613.351318359375
5233,5,2,598.026184082031
6101,6,1,237
6102,6,1,102
6103,6,1,36
6104,6,1,58
6105,6,1,54
6106,6,1,153
6107,6,1,41
6108,6,1,313
6109,6,1,15
6110,6,1,102
6111,6,1,108
6112,6,1,51
6113,6,1,67
6114,6,1,63
6115,6,1,151
6116,6,1,50
6117,6,1,16
6118,6,1,49
6119,6,1,56
6120,6,1,27
6121,6,1,144
6122,6,1,70
6123,6,1,34
6124,6,1,20
6125,6,1,21
6126,6,1,69
6127,6,1,27
6128,6,1,48
6129,6,1,50
6130,6,1,45
6131,6,1,42
6132,6,1,39
6133,6,1,38
6201,6,2,867.02783203125
6202,6,2,594.487487792969
6203,6,2,802.51904296875
6204,6,2,735.065612792969
6205,6,2,350.540008544922
6206,6,2,200.858047485352
6207,6,2,876.686096191406
6208,6,2,878.825378417969
6209,6,2,781.937561035156
6210,6,2,335.387542724609
6211,6,2,243.927139282227
6212,6,2,946.583068847656
6213,6,2,1045.54443359375
6214,6,2,838.646240234375
6215,6,2,614.277648925781
6216,6,2,310.642913818359
6217,6,2,270.738891601562
6218,6,2,774.212280273438
6219,6,2,320.194213867188
6220,6,2,331.137298583984
6221,6,2,288.405059814453
6222,6,2,155.980178833008
6223,6,2,67.8700637817383
6224,6,2,392.416717529297
6225,6,2,204.330139160156
6226,6,2,185.892761230469
6227,6,2,82.9556045532227
6228,6,2,48.700569152832
6229,6,2,94.7126617431641
6230,6,2,94.7126617431641
6231,6,2,34.8135566711426
6232,6,2,68.9931106567383
6233,6,2,47.9594764709473
7101,7,1,17
7102,7,1,28
7103,7,1,34
7104,7,1,20
7105,7,1,142
7106,7,1,30
7107,7,1,67
7108,7,1,245
7109,7,1,12
7110,7,1,312
7111,7,1,49
7112,7,1,17
7113,7,1,50
7114,7,1,17
7115,7,1,21
